Library Name,Street Address,City,Zip Code
ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556
ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503
ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744
KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559
BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652
CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729
CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615
COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571
COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572
CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574
CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921
IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736
DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737
DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576
EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738
FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701
CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741
COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588
GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826
HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827
TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743
HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950
HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603
HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605
JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801
KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610
KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611
KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901
KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615
CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752
MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627
CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926
MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633
NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760
NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639
KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762
NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764
PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645
PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832
PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833
JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550
ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660
SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663
SEWARD COMMUNITY LIBRARY MUSEUM,239 6TH AVENUE,SEWARD,99664
KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835
SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840
JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669
SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY,SUTTON,99674
TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676
TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777
DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841
TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780
VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686
WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654
WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688
IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929
AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552
FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573
KOYUK PUBLIC LIBRARY,3RD AND BIRCH STREET,KOYUK,99753
TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679
TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723
AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551
ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829
MOOSE PASS PUBLIC LIBRARY,38100 DEPOT ROAD,MOOSE PASS,99631
TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET,NIKOLAI,99691
SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661
EGEGIK VILLAGE LIBRARY,289 AIRPORT ROAD,EGEGIK,99579
TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683
HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 MAIN STREET,HOLY CROSS,99602
OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,99644
ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,99591
UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,99685
ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557
HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923
INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,101 PINE STREET,SHAGELUK,99665
BLACKWELL COMMUNITY/SCHOOL LIBRARY,100 WHITE SPRUCE TRAIL,ANVIK,99558
DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,DAVID LOUIS SCHOOL BUILDING,GRAYLING,99590
LAKE MINCHUMINA COMMUNITY LIBRARY,123 FRONT STREET,LAKE MINCHUMINA,99757
IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,99613
COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY,COFFMAN COVE,99918
THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE,THORNE BAY,99919
WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,99950
TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,2 MAIN STREET,TOGIAK,99678
SCAMMON BAY PUBLIC LIBRARY,103 MAIN STREET,SCAMMON BAY,99662
KLUKWAN COMMUNITY/SCHOOL LIBRARY,315 MISSION STREET,KLUKWAN,99827
CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST,JASPER,35501
ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541
DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,35553
HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,35565
JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,35501
SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,35148
CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,36264
ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,36274
ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH,ASHLAND,36251
SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,35150
CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,35960
CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,35044
LINCOLN PUBLIC LIBRARY,49 COMPLEX DRIVE,LINCOLN,35096
LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,36266
HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,36264
OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,36203
TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,35160
ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,36310
ARITON - DOT LANEY MEMORIAL LIBRARY,30 WEST MAIN STREET,ARITON,36311
HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,36345
BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,36010
OZARK - DALE COUNTY PUBLIC LIBRARY,416 JAMES STREET,OZARK,36360
CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,36017
LOUISVILLE PUBLIC LIBRARY,1951 MAIN STREET,LOUISVILLE,36048
MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVENUE,MIDLAND CITY,36350
NEWTON PUBLIC LIBRARY,209 OATES DRIVE,NEWTON,36352
CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET,CLAYTON,36016
TROY PUBLIC LIBRARY,500 EAST WALNUT STREET,TROY,36081
UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,36089
ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET,ANDALUSIA,36420
BRANTLEY PUBLIC LIBRARY,10 MLK DRIVE,BRANTLEY,36009
ELBA PUBLIC LIBRARY,406 SIMMONS STREET,ELBA,36323
GENEVA - EMMA KNOX KENAN LIBRARY,312 SOUTH COMMERCE STREET,GENEVA,36340
ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET,ENTERPRISE,36330
FLORALA PUBLIC LIBRARY,1214 FOURTH STREET,FLORALA,36442
HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON STREET,HARTFORD,36344
LUVERNE PUBLIC LIBRARY,148 EAST THIRD STREET,LUVERNE,36049
OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET,OPP,36467
SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET,SAMSON,36477
SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE,SLOCOMB,36375
HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET,DADEVILLE,36853
ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET,ALEXANDER CITY,35010
DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET,DADEVILLE,36853
GOODWATER PUBLIC LIBRARY,36 WEOGUFKA STREET,GOODWATER,35072
AUBURN PUBLIC LIBRARY,749 EAST THACH AVENUE,AUBURN,36830
OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,200 SOUTH 6TH STREET,OPELIKA,36801
MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD,MILLBROOK,36054
ROCKFORD PUBLIC LIBRARY,9688 US HWY 231,ROCKFORD,35136
TALLASSEE COMMUNITY PUBLIC LIBRARY,99 FREEMAN AVENUE,TALLASSEE,36078
WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET,WETUMPKA,36092
FLORENCE - LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE,FLORENCE,35630
TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET,TUSCUMBIA,35674
LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,35646
MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661
ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,35652
SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE,SHEFFIELD,35660
NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594
HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST,HAMILTON,35570
KENNEDY PUBLIC LIBRARY,17885 HIGHWAY 96,KENNEDY,35574
GUIN - MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43,GUIN,35563
MILLPORT PUBLIC LIBRARY,920 BLACK STREET,MILLPORT,35576
RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET,RUSSELLVILLE,35653
SULLIGENT PUBLIC LIBRARY,514 ELM STREET,SULLIGENT,35586
VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST,VERNON,35592
RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH,RED BAY,35582
WINFIELD PUBLIC LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594
ATHENS - LIMESTONE PUBLIC LIBRARY,405 EAST SOUTH STREET,ATHENS,35611
DECATUR PUBLIC LIBRARY,504 CHERRY STREET NE,DECATUR,35601
HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW,HARTSELLE,35640
LAWRENCE COUNTY PUBLIC LIBRARY,401 COLLEGE STREET,MOULTON,35650
BALDWIN COUNTY LIBRARY COOPERATIVE,22251 PALMER STREET,ROBERTSDALE,36567
DAPHNE PUBLIC LIBRARY,2607 U.S. HIGHWAY 98,DAPHNE,36526
FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE,FAIRHOPE,36532
FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE,FOLEY,36535
BAY MINETTE PUBLIC LIBRARY,205 WEST SECOND STREET,BAY MINETTE,36507
LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE,LOXLEY,36551
OSCAR JOHNSON MEMORIAL LIBRARY,21967 SIXTH STREET,SILVERHILL,36576
ROBERTSDALE PUBLIC LIBRARY,18301 PENNSYLVANIA STREET,ROBERTSDALE,36567
GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,221 WEST 19TH AVENUE,GULF SHORES,36542
ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET,ADAMSVILLE,35005
BESSEMER PUBLIC LIBRARY,400 19TH STREET N,BESSEMER,35020
MOUNTAIN BROOK - EMMET O'NEAL LIBRARY,50 OAK STREET,MOUNTAIN BROOK,35213
FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,4615 GARY AVENUE,FAIRFIELD,35064
FULTONDALE PUBLIC LIBRARY,500 BYRD LANE,FULTONDALE,35068
GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,995 MT. OLIVE ROAD,GARDENDALE,35071
GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET,GRAYSVILLE,35073
HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD,HOMEWOOD,35209
HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE,HOOVER,35216
HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD,HUEYTOWN,35023
IRONDALE PUBLIC LIBRARY,105 SOUTH 20TH STREET,IRONDALE,35210
LEEDS - JANE CULBRETH LIBRARY,8104 PARKWAY DRIVE,LEEDS,35094
MIDFIELD PUBLIC LIBRARY,400 BRELAND DRIVE,MIDFIELD,35228
PLEASANT GROVE PUBLIC LIBRARY,501 PARK ROAD,PLEASANT GROVE,35127
TARRANT PUBLIC LIBRARY,1143 FORD AVENUE,TARRANT,35217
TRUSSVILLE PUBLIC LIBRARY,201 PARKWAY DRIVE,TRUSSVILLE,35173
VESTAVIA HILLS LIBRARY IN THE FOREST,1221 MONTGOMERY HIGHWAY,VESTAVIA HILLS,35216
WARRIOR PUBLIC LIBRARY,101 FIRST STREET,WARRIOR,35180
BIRMINGHAM PUBLIC LIBRARY,2100 PARK PLACE,BIRMINGHAM,35203
FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,504 GRAND AVENUE NW,FORT PAYNE,35967
COLLINSVILLE PUBLIC LIBRARY,151 MAIN STREET,COLLINSVILLE,35961
GERALDINE PUBLIC LIBRARY,13543 ALABAMA HIGHWAY 227,GERALDINE,35974
RAINSVILLE PUBLIC LIBRARY,941 EAST MAIN STREET,RAINSVILLE,35986
ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,700 EAST CHURCH STREET,ATMORE,36502
ATMORE PUBLIC,700 E. CHURCH STREET,ATMORE,36502
BREWTON PUBLIC LIBRARY,206 WEST JACKSON STREET,BREWTON,36426
FLOMATON PUBLIC LIBRARY,436 HOUSTON STREET,FLOMATON,36441
GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,254 COLLEGE STREET,GADSDEN,35901
ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,604 NORTH 4TH STREET,ATTALLA,35954
RAINBOW CITY PUBLIC LIBRARY,3702 RAINBOW DRIVE,RAINBOW CITY,35906
DEMOPOLIS PUBLIC LIBRARY,211 E. WASHINGTON STREET,DEMOPOLIS,36732
MARENGO COUNTY PUBLIC LIBRARY,210 NORTH SHILOH STREET,LINDEN,36748
MARSHALL COUNTY COOPERATIVE LIBRARY,600 COLLEGE STREET SUITE 100,ALBERTVILLE,35950
ARAB PUBLIC LIBRARY,325 2ND STREET NW,ARAB,35016
BOAZ PUBLIC LIBRARY,404 THOMAS AVE.,BOAZ,35957
GUNTERSVILLE PUBLIC LIBRARY,1240 O'BRIG AVENUE,GUNTERSVILLE,35976
ALBERTVILLE PUBLIC LIBRARY,200 JACKSON STREET,ALBERTVILLE,35950
HARRISON REGIONAL LIBRARY SYSTEM,50 LESTER STREET,COLUMBIANA,35051
ALABASTER - ALBERT L. SCOTT LIBRARY,100 9TH STREET N.W.,ALABASTER,35007
CALERA PUBLIC LIBRARY,9700 HIGHWAY 25,CALERA,35040
COLUMBIANA PUBLIC LIBRARY,50 LESTER STREET,COLUMBIANA,35051
HELENA - JANE B. HOLMES PUBLIC LIBRARY,230 TUCKER ROAD,HELENA,35080
VINCENT - LALLOUISE F. MCGRAW LIBRARY,42860 HIGHWAY 25,VINCENT,35178
MONTEVALLO - PARNELL MEMORIAL LIBRARY,277 PARK DRIVE,MONTEVALLO,35115
PELHAM PUBLIC LIBRARY,3160 PELHAM PARKWAY,PELHAM,35124
WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,9905 NORTH MAIN STREET,WILSONVILLE,35186
NORTH SHELBY LIBRARY,5521 CAHABA VALLEY ROAD,BIRMINGHAM,35242
ALICEVILLE PUBLIC LIBRARY,416 THIRD AVENUE NE,ALICEVILLE,35442
CARROLLTON PUBLIC LIBRARY,225 COMMERCE AVENUE,CARROLLTON,35447
GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,287 MAIN STREET SOUTH,GORDO,35466
REFORM PUBLIC LIBRARY,302 FIRST STREET SOUTH,REFORM,35481
ST. CLAIR COUNTY LIBRARY,139 5TH AVENUE,ASHVILLE,35953
ASHVILLE PUBLIC LIBRARY,196 SIXTH AVENUE,ASHVILLE,35953
MOODY - DORIS STANLEY MEMORIAL LIBRARY,1515 BOOKMARK LANE,MOODY,35004
ODENVILLE PUBLIC LIBRARY,200 ALABAMA STREET,ODENVILLE,35120
PELL CITY PUBLIC LIBRARY,1923 1ST AVENUE NORTH,PELL CITY,35125
YORK - HIGHTOWER MEMORIAL LIBRARY,602 2ND AVENUE,YORK,36925
LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,206 MONROE ST.,LIVINGSTON,35470
ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,108 EAST 10TH STREET,ANNISTON,36201
